,raw_variance,normalised_gradient_median,normalised_energy,24,25,26,27,20,21,22,23,normalised_RMS,1,0,3,2,5,4,raw_RMS,6,9,8,length_secs,raw_gradient_mean,7,10,normalised_variance,15,14,11,raw_gradient_median,13,12,normalised_power,normalised_gradient_variance,17,16,19,18,raw_power,raw_energy,normalised_gradient_mean,raw_gradient_variance,mean,class,energy_band_0,energy_band_1,energy_band_2,energy_band_3,energy_band_4,energy_band_5,energy_band_6,energy_band_7,energy_band_8,energy_band_9,energy_band_10,energy_band_11,energy_band_12,energy_band_13,energy_band_14,energy_band_15,energy_band_16,energy_band_17,energy_band_18,energy_band_19,energy_band_20,energy_band_21,energy_band_22,energy_band_23,energy_band_24,energy_band_25,energy_band_26,energy_band_27,energy_band_28,energy_band_29,energy_band_30,energy_band_31,energy_band_32,energy_band_33,energy_band_34,energy_band_35,energy_band_36,energy_band_37,energy_band_38,energy_band_39,energy_band_40,energy_band_41,energy_band_42,energy_band_43,energy_band_44,energy_band_45,energy_band_46,energy_band_47,energy_band_48,energy_band_49
10,27691515.8471,0.0205845696136,1914.16221508,121.636650708,120.356426073,117.559950209,115.34877992,123.320635959,122.526592599,121.442937034,122.259317326,0.21156563771,118.474414252,95.2303916189,134.603929402,133.397734771,125.637615582,130.091493349,17.4191268205,122.519745515,117.436288166,118.168828045,0.969727891156,679.840757629,120.02184406,114.950184621,0.0447600321871,109.590462245,110.072647553,114.8992193,512.0,110.729363243,110.419391489,0.0447600190596,0.000591232207542,114.141775207,111.050403293,121.997667924,118.109199654,303.425979189,12976012.0,0.0273324793,365775.34118,-0.214217233719,brachial,255.0,243.40625,204.79125,204.52375,204.4675,203.65,203.24625,202.67625,201.845,202.45875,202.56625,201.9275,200.605,199.935,199.225,199.21375,200.31625,202.46375,203.8175,203.98375,204.49375,203.24375,202.7825,203.475,200.97375,199.785,201.99,202.16,200.69125,201.795,203.27875,203.115,203.835,204.3225,203.425,203.2225,202.46,199.25625,198.675,199.4625,198.14125,198.97,200.59875,200.875,200.72125,201.335,201.31375,200.73625,201.0275,199.47375
11,32200359.7261,0.0240126968423,2371.3171124,123.749459935,121.062804311,118.533098413,119.471072116,125.672691795,125.705746066,124.258303743,122.644842181,0.233924342375,119.000883217,98.104795952,135.270090427,133.473728299,125.038561154,131.628239227,14.8281552951,123.1028837,115.95678558,118.349317263,0.982653061224,792.354909427,120.769006199,113.876914574,0.0547205860544,113.759983009,109.742863036,114.005484561,582.5,111.072471717,109.107740257,0.0547205979555,0.000921922480514,115.778225279,112.638162501,125.073879584,119.111980707,219.874189454,9528248.0,0.0326636536164,542505.803623,-2.84250605746,brachial,255.0,248.0775,222.09125,220.89,219.93375,220.4875,220.29,220.4425,219.54625,219.565,219.0125,217.30625,215.825,214.9725,214.48375,214.83875,216.1,217.995,218.9825,219.6525,220.41375,220.2075,220.1125,220.36375,218.0375,216.71625,219.545,220.49875,218.155,218.65,219.2425,219.38,219.53625,219.2375,219.605,220.5525,219.2775,215.44125,214.87125,215.3025,213.0025,215.22375,216.9025,217.54,217.98875,217.9525,217.51875,217.525,217.5675,217.44875
12,28994069.084,0.0173840715325,2037.89280407,115.562137742,114.216283302,113.110777701,111.027618928,122.592574297,120.304030754,119.485318076,119.715366959,0.223939058723,117.91754879,99.2685879593,135.749855789,132.797413439,126.021525823,131.205938115,19.3458567881,119.758322689,112.482410189,115.859727605,0.921473922902,590.886310505,120.573230875,109.351454232,0.0501486915955,111.089122811,110.459230783,109.138688182,418.0,109.286705223,109.350227578,0.050148702022,0.00053827503986,115.334526853,111.312601106,123.574891934,119.105016124,374.262174865,15208892.0,0.0245741863383,311210.187053,-2.63710411694,brachial,255.0,246.30625,215.56,214.985,214.43375,214.78375,214.155,213.3175,213.55125,213.915,213.74,212.7775,211.66875,210.59875,210.59375,210.57125,211.32,212.71375,213.6725,214.16625,214.91,214.39625,214.08,214.65125,212.36375,210.8375,213.95875,213.9125,212.3925,212.06,213.02375,212.58875,213.75875,213.835,213.77,214.11875,213.3775,210.38625,209.095,211.11625,208.87,210.63375,211.38125,212.84125,212.8075,212.455,211.85625,212.1025,211.14625,210.97125
13,27449670.6935,0.0163103014566,1856.84672487,113.677107962,116.036531816,113.426812669,109.234626934,120.505284351,114.677853427,118.523698195,117.202774502,0.212571043227,119.010555885,92.1113194174,134.755538753,134.156075577,127.848312794,129.759495679,13.5622450228,121.815483758,113.816762668,114.764169158,0.931814058957,523.99037549,119.522218154,112.432195013,0.0451865317279,108.09293866,108.019984188,109.677601055,402.0,105.553958105,106.046150774,0.0451864484187,0.000331783384159,114.483039071,110.542980175,120.362049171,117.607656746,183.934490059,7558420.0,0.0212598034442,201549.981565,-1.52831382474,brachial,255.0,247.46875,219.33,218.3675,218.9875,218.54125,218.3225,217.72875,218.05625,217.6175,217.76,217.8375,217.4,216.345,216.105,215.58625,216.45625,217.86375,217.40375,217.74625,218.0,217.5475,217.21625,217.7775,215.51625,215.05625,217.57875,217.885,215.4725,215.80875,217.26875,217.6,218.08375,217.49375,217.97125,217.4375,217.20625,215.92875,216.43,216.06375,215.16375,215.9475,217.125,216.7925,216.7875,215.73,216.83,215.97,216.1675,215.3275
14,30972745.5275,0.0143803899911,2384.92863581,114.412480597,113.901085326,112.614314007,111.933573555,122.083407488,119.470675465,115.132150942,117.783062918,0.236429584558,118.200808832,97.3186850387,136.655054182,133.47261496,126.033510609,130.231214828,15.4274856275,123.46992603,117.332668249,122.771312069,0.96746031746,496.730505098,125.694059163,113.652757359,0.0558989546786,106.129441719,106.71182764,112.772729004,338.5,104.425935495,106.370187805,0.0558989484544,0.000433047710693,109.804472872,106.546992822,119.274953132,112.428207745,238.007312786,10154582.0,0.0211024472194,239945.033349,-0.565826790109,brachial,255.0,248.13875,223.9375,223.41125,223.1125,222.565,222.715,222.63875,222.78625,223.09375,222.78625,222.1575,221.075,220.06875,219.675,219.105,219.23,221.76125,222.85125,222.9525,222.5375,222.24,223.32,222.6075,219.96375,218.01375,221.84875,221.28375,219.89,220.645,221.97,221.21125,221.07875,222.3725,222.25625,221.62,221.8025,219.32,218.3025,219.61,219.1975,220.18375,221.265,221.105,220.9175,221.3725,220.56625,220.7025,220.6125,219.8725
15,26960054.9889,0.0148030550073,2058.15179824,113.094126352,108.771288994,108.138665094,106.090360148,119.596953181,115.102016201,116.402064775,114.604686781,0.222788428324,115.302451579,92.25142113,136.234620143,131.342343188,125.577368727,131.780428989,21.0122170148,124.568434771,113.423326108,118.504181433,0.940272108844,472.725160372,119.134320243,112.332605647,0.0496346872174,110.376008365,108.315918262,107.121085469,345.0,107.714150617,107.456567279,0.049634683795,0.000358270987491,112.892719167,108.21174835,121.577510316,117.359930473,441.513263879,18307789.0,0.0202834102966,194601.921865,0.242632518208,brachial,255.0,246.0125,215.13625,214.58,214.08875,213.82125,213.80375,214.04375,213.34625,212.8,212.95875,213.2775,211.97125,212.77875,212.57375,211.545,212.33,213.52625,213.4925,213.43125,213.66125,214.29,214.035,214.78375,211.21625,209.36875,213.72375,213.33375,212.23875,211.86875,213.54125,213.25875,213.225,213.62375,213.345,212.84875,213.09875,212.16375,210.9475,211.71,210.92625,211.69625,212.5375,212.61125,212.4825,212.55625,212.185,212.45875,211.97875,211.31
16,24293653.9139,0.0126440736281,1852.61700769,110.511305972,105.350875017,104.043950459,102.708660155,118.153936787,116.990691037,113.716196268,112.039503359,0.211975738003,113.726947418,90.685434563,135.252451502,129.891021363,127.280817489,131.943604395,22.3760698854,123.963286191,108.826240749,112.250553548,0.934920634921,431.180487509,120.002295589,106.798048529,0.0449337031328,108.173594214,106.32106027,107.58924091,294.0,104.887015635,104.908996533,0.044933713502,0.000333286136925,115.12567275,109.162586923,120.523601584,119.099697184,500.688503517,20643387.0,0.0185438021464,180192.984335,-2.56633519282,brachial,255.0,247.20625,220.3425,219.87,219.2575,220.0425,220.05125,219.7025,219.75875,220.0625,219.52375,218.93375,218.185,217.97375,217.88875,216.27,215.8975,217.17,219.2475,218.8825,219.6925,219.3975,219.13375,218.83625,215.91375,215.63375,218.745,219.15625,218.49,217.75,217.945,217.72125,217.84,218.35875,218.4975,218.6425,217.835,214.98,215.22875,216.6175,217.3175,218.3225,218.37875,218.53875,217.835,216.97875,217.61625,217.07375,217.88625,216.95375
17,33406033.4144,0.0186467444121,2329.30358696,117.302473462,114.753471481,112.454403671,112.353229283,124.843346916,119.104160453,121.587371925,118.677881519,0.234037677834,115.982229381,91.4583806748,135.586392656,133.926514719,125.557215215,133.194390701,16.2803769883,125.740358329,121.66068533,124.082333593,0.964308390023,641.420472182,120.535620927,119.160869995,0.0547736494798,109.29381771,107.901989859,114.41359535,460.5,109.382290071,109.122697871,0.0547736346461,0.0005882778566,114.538062831,111.523581029,124.627754027,119.135811221,265.050674881,11271545.0,0.0259726462659,358786.203241,-0.926068757936,brachial,255.0,247.60125,219.86875,219.155,219.2775,219.4725,219.85875,219.17375,218.81375,218.6325,218.8875,217.4825,216.09875,215.28125,214.54125,214.5375,214.32375,216.365,217.8075,218.6925,218.67875,217.88625,217.77375,218.73,215.3675,214.37,218.6725,218.71625,215.78375,216.3425,217.12375,216.81875,217.78625,218.63625,218.53625,218.5025,217.5125,213.87875,214.095,214.72875,214.56,215.60875,215.72625,217.135,216.955,216.19125,216.20875,216.12875,215.6725,215.285
18,29128831.9794,0.013516970834,2151.49516451,112.533398952,111.750494717,108.116915853,105.080598403,113.235007941,116.025316018,115.022128393,115.063883564,0.230132971633,116.46530445,96.8710983378,134.949543427,134.201669956,127.034049234,128.600091988,17.5374528892,126.180493113,114.123176861,119.600399519,0.921179138322,440.148028259,122.559425407,109.410788206,0.0529618685935,105.49376175,104.219503001,107.289025559,317.0,103.493808929,102.661181366,0.0529611846324,0.000317276099033,111.741482754,104.977258479,113.984005939,115.304820365,307.56225384,12494409.0,0.0187680380462,174500.681816,-3.16812721544,brachial,255.0,247.5025,219.38125,217.43,217.60875,217.34625,217.21125,217.5625,217.85375,218.08625,218.43625,217.7425,216.82625,216.25875,214.82,215.01,216.6825,217.87125,217.6775,217.92875,217.4125,217.24625,217.43375,217.70375,214.83875,214.0325,216.79,217.715,216.4675,215.37125,216.73875,216.00125,217.6875,217.7925,218.04625,217.47625,217.3125,215.48875,215.45,215.95625,214.47625,214.635,217.02125,216.8,216.32875,216.25875,216.2425,215.825,215.51625,215.28625
19,28809764.5496,0.0169452376953,1970.8573428,108.522502709,104.993961817,100.922242,101.164688441,114.025659865,111.304308151,110.256203924,106.266548958,0.225410064441,120.86683434,94.916516392,134.367268856,132.917513392,126.108687713,130.772890871,14.4417289842,121.751409856,111.658015695,114.821904317,0.879569160998,539.537626647,121.467081577,110.672689819,0.0508098556659,111.537132386,110.201301888,104.402696158,403.5,108.385579246,106.844467536,0.0508096971511,0.000403519762057,122.044461619,118.041958783,119.100036424,123.583936954,208.563536054,8089971.0,0.0226582238639,228800.282615,-0.419242568769,brachial,255.0,244.575,209.465,208.69375,208.28625,208.76875,208.42875,208.08375,208.99375,208.70375,207.6875,208.05,208.33625,208.455,206.815,205.5275,206.77625,208.0775,207.985,207.59375,208.12125,208.10875,208.01875,207.93125,204.40875,204.595,208.1,207.72375,206.18625,205.4875,206.52125,206.04625,207.86,207.29375,208.7125,208.3675,207.31125,206.2325,205.9975,206.18375,205.625,206.58875,206.5175,206.63875,206.385,205.8175,206.405,205.415,205.4,205.65375
